Flight_id,origin,destination,departure,arrival,
1,IST,ADA,07:00,08:35,
2,IST,ADA,11:15,12:50,
3,IST,ADA,14:15,15:50,
4,ADA,IST,09:35,11:10,
5,ADA,IST,13:50,15:25,
6,ADA,IST,16:50,18:25,
7,IST,ANK,07:00,08:00,
8,IST,ANK,09:00,10:00,
9,IST,ANK,10:00,11:00,
10,IST,ANK,13:00,14:00,
11,IST,ANK,15:00,16:00,
12,IST,ANK,17:00,18:00,
13,IST,ANK,17:30,18:30,
14,IST,ANK,18:00,19:00,
15,IST,ANK,19:00,20:00,
16,IST,ANK,20:00,21:00,
17,ANK,IST,09:00,10:00,
18,ANK,IST,11:00,12:00,
19,ANK,IST,12:00,13:00,
20,ANK,IST,15:00,16:00,
21,ANK,IST,17:00,18:00,
22,ANK,IST,19:00,20:00,
23,ANK,IST,19:30,20:30,
24,ANK,IST,20:00,21:00,
25,ANK,IST,21:00,22:00,
26,ANK,IST,22:00,23:00,
27,IST,ANT,07:20,08:35,
28,IST,ANT,11:25,12:40,
29,IST,ANT,14:25,15:40,
30,ANT,IST,10:40,11:55,
31,ANT,IST,13:40,14:55,
32,ANT,IST,16:45,18:00,
33,IST,BOD,14:30,15:40,
34,IST,BOD,19:30,20:40,
35,BOD,IST,16:45,17:55,
36,BOD,IST,21:40,22:50,
37,IST,DAL,17:20,18:40,
38,IST,DAL,19:35,20:50,
39,DAL,IST,19:40,21:00,
40,DAL,IST,21:50,23:05,
41,IST,IZM,07:00,08:00,
42,IST,IZM,08:00,09:00,
43,IST,IZM,08:30,09:30,
44,IST,IZM,11:00,12:00,
45,IST,IZM,13:00,14:00,
46,IST,IZM,15:00,16:00,
47,IST,IZM,16:00,17:00,
48,IST,IZM,20:00,21:00,
49,IST,IZM,23:45,00:45,
50,IZM,IST,10:00,11:00,
51,IZM,IST,10:30,11:30,
52,IZM,IST,11:00,12:00,
53,IZM,IST,13:00,14:00,
54,IZM,IST,15:00,16:00,
55,IZM,IST,17:00,18:00,
56,IZM,IST,19:20,20:20,
57,IZM,IST,22:00,23:00,
58,IZM,IST,01:45,02:45,
